ID,CH,F,SPINDLE,Time_of_night,STOP
nsrr4178,EEG3,10.895,1,2.571813151041667,2.571966145833333
nsrr4178,EEG3,10.895,2,2.7987163628472222,2.7989073350694444
nsrr4178,EEG3,10.895,3,2.8409016927083335,2.841117621527778
nsrr4178,EEG3,10.895,4,2.8871961805555557,2.8873936631944446
nsrr4178,EEG3,10.895,5,2.9090874565972222,2.9092513020833333
nsrr4178,EEG3,10.895,6,2.9416764322916666,2.941863064236111
nsrr4178,EEG3,10.895,7,2.945329861111111,2.945474175347222
nsrr4178,EEG3,10.895,8,2.9493446180555556,2.949543185763889
nsrr4178,EEG3,10.895,9,2.9644563802083335,2.9645952690972224
nsrr4178,EEG3,10.895,10,3.8709982638888887,3.8713313802083333
nsrr4178,EEG3,10.895,11,4.475799696180555,4.475949435763889
nsrr4178,EEG3,10.895,12,4.493680555555556,4.493888888888889
nsrr4178,EEG3,10.895,13,4.739091796875,4.739274088541666
nsrr4178,EEG3,10.895,14,5.240626085069445,5.240842013888889
nsrr4178,EEG3,10.895,15,5.447587890625,5.447750651041667
nsrr4178,EEG3,10.895,16,5.662724609375,5.662888454861111
nsrr4178,EEG3,10.895,17,5.700392795138889,5.700569661458333
nsrr4178,EEG3,10.895,18,5.709303385416667,5.709461805555556
nsrr4178,EEG3,10.895,19,5.794670138888889,5.7948187934027775
nsrr4178,EEG3,10.895,20,6.213258463541667,6.213406032986111
nsrr4178,EEG3,10.895,21,6.306346571180556,6.306516927083333
nsrr4178,EEG3,10.895,22,7.510991753472222,7.511156684027778
nsrr4178,EEG3,10.895,23,7.580118272569444,7.580290798611111
nsrr4178,EEG3,10.895,24,7.627897135416666,7.628079427083334
nsrr4178,EEG3,10.895,25,7.667526041666667,7.667688802083333
nsrr4178,EEG3,10.895,26,7.7809852430555555,7.781142578125
nsrr4178,EEG3,10.895,27,7.91267578125,7.912855902777777
nsrr4178,EEG3,10.895,28,7.958739149305556,7.958986545138889
nsrr4178,EEG3,10.895,29,8.076153428819444,8.076309678819445
nsrr4178,EEG3,10.895,30,8.087084418402778,8.087288411458333
nsrr4178,EEG3,10.895,31,8.146800130208334,8.146973741319444
nsrr4178,EEG3,10.895,32,8.20295138888889,8.203116319444444
nsrr4178,EEG3,10.895,33,8.227333984375,8.227522786458334
nsrr4178,EEG3,10.895,34,8.282605251736111,8.282776692708333
nsrr4178,EEG3,10.895,35,8.340713975694445,8.340876736111111
nsrr4178,EEG3,10.895,36,8.384379340277778,8.384666883680556
nsrr4178,EEG3,10.895,37,9.490081380208334,9.49037109375
nsrr4178,EEG3,10.895,38,9.603493923611111,9.603671875
nsrr4178,EEG3,10.895,39,9.737883029513888,9.738065321180555
nsrr4178,EEG3,10.895,40,9.740221354166666,9.740400390625
