ID,CH,F,SPINDLE,Time_of_night,STOP
nsrr0346,EEG3,10.895,1,2.1980989583333335,2.1984765625
nsrr0346,EEG3,10.895,2,2.2034971788194446,2.203798828125
nsrr0346,EEG3,10.895,3,2.204137369791667,2.204361979166667
nsrr0346,EEG3,10.895,4,2.212144097222222,2.2123036024305556
nsrr0346,EEG3,10.895,5,2.2145768229166665,2.214884982638889
nsrr0346,EEG3,10.895,6,2.2215201822916666,2.222173394097222
nsrr0346,EEG3,10.895,7,2.222917751736111,2.223107638888889
nsrr0346,EEG3,10.895,8,2.2417274305555557,2.241965060763889
nsrr0346,EEG3,10.895,9,2.2706174045138887,2.2708148871527776
nsrr0346,EEG3,10.895,10,2.2720496961805554,2.27224609375
nsrr0346,EEG3,10.895,11,2.2848220486111113,2.2852061631944443
nsrr0346,EEG3,10.895,12,2.2913758680555554,2.2915147569444443
nsrr0346,EEG3,10.895,13,2.292072482638889,2.2922233072916667
nsrr0346,EEG3,10.895,14,2.3005143229166665,2.3008680555555556
nsrr0346,EEG3,10.895,15,2.3037532552083335,2.30390625
nsrr0346,EEG3,10.895,16,2.304429253472222,2.3050282118055554
nsrr0346,EEG3,10.895,17,2.3057096354166666,2.3059320746527776
nsrr0346,EEG3,10.895,18,2.3123350694444444,2.312582465277778
nsrr0346,EEG3,10.895,19,2.325,2.3251888020833333
nsrr0346,EEG3,10.895,20,2.326177300347222,2.326333550347222
nsrr0346,EEG3,10.895,21,2.3360666232638887,2.3363487413194446
nsrr0346,EEG3,10.895,22,2.3397808159722224,2.3399283854166666
nsrr0346,EEG3,10.895,23,2.3923307291666664,2.392677951388889
nsrr0346,EEG3,10.895,24,2.395730251736111,2.396232638888889
nsrr0346,EEG3,10.895,25,2.3969911024305555,2.3971820746527777
nsrr0346,EEG3,10.895,26,2.407038845486111,2.407177734375
nsrr0346,EEG3,10.895,27,2.4138248697916667,2.4141742621527778
nsrr0346,EEG3,10.895,28,2.4165993923611113,2.4167447916666664
nsrr0346,EEG3,10.895,29,2.4183138020833335,2.4187120225694443
nsrr0346,EEG3,10.895,30,2.419580078125,2.4198600260416665
nsrr0346,EEG3,10.895,31,2.4245182291666665,2.4247037760416665
nsrr0346,EEG3,10.895,32,2.4274468315972224,2.427611762152778
nsrr0346,EEG3,10.895,33,2.4297059461805555,2.430261501736111
nsrr0346,EEG3,10.895,34,2.437490234375,2.437907986111111
nsrr0346,EEG3,10.895,35,2.440595703125,2.440815972222222
nsrr0346,EEG3,10.895,36,2.4438736979166666,2.4444878472222222
nsrr0346,EEG3,10.895,37,2.446391059027778,2.446896701388889
nsrr0346,EEG3,10.895,38,2.454365234375,2.4545941840277776
nsrr0346,EEG3,10.895,39,2.4823263888888887,2.4826236979166665
nsrr0346,EEG3,10.895,40,2.484330512152778,2.484583333333333
nsrr0346,EEG3,10.895,41,2.4867252604166667,2.4869368489583334
nsrr0346,EEG3,10.895,42,2.4892274305555557,2.489490017361111
nsrr0346,EEG3,10.895,43,2.5276258680555554,2.5277821180555557
nsrr0346,EEG3,10.895,44,2.5631694878472224,2.5633289930555554
nsrr0346,EEG3,10.895,45,2.5662326388888888,2.566413845486111
nsrr0346,EEG3,10.895,46,2.568271484375,2.568530815972222
