ID,CH,F,SPINDLE,Time_of_night,STOP
nsrr0558,EEG3,10.895,1,1.3440169270833333,1.344167751736111
nsrr0558,EEG3,10.895,2,1.3461024305555556,1.3463129340277777
nsrr0558,EEG3,10.895,3,1.3504459635416666,1.3506000434027778
nsrr0558,EEG3,10.895,4,1.3527408854166667,1.352966579861111
nsrr0558,EEG3,10.895,5,1.3565972222222222,1.3569965277777778
nsrr0558,EEG3,10.895,6,1.3576475694444445,1.3579676649305557
nsrr0558,EEG3,10.895,7,1.5756011284722222,1.5758582899305555
nsrr0558,EEG3,10.895,8,1.5774772135416666,1.5779286024305557
nsrr0558,EEG3,10.895,9,1.5785069444444444,1.5788661024305555
nsrr0558,EEG3,10.895,10,1.5809819878472222,1.581134982638889
nsrr0558,EEG3,10.895,11,1.5843901909722222,1.5846050347222222
nsrr0558,EEG3,10.895,12,1.5851822916666667,1.5858062065972223
nsrr0558,EEG3,10.895,13,1.5888205295138889,1.5894476996527778
nsrr0558,EEG3,10.895,14,1.590068359375,1.590261501736111
nsrr0558,EEG3,10.895,15,1.5906998697916668,1.5908452690972221
nsrr0558,EEG3,10.895,16,1.5911577690972223,1.5914713541666667
nsrr0558,EEG3,10.895,17,1.630947265625,1.6311252170138888
nsrr0558,EEG3,10.895,18,1.6319737413194444,1.6321473524305556
nsrr0558,EEG3,10.895,19,1.6339713541666667,1.634148220486111
nsrr0558,EEG3,10.895,20,1.6350922309027778,1.6354817708333333
nsrr0558,EEG3,10.895,21,1.637165798611111,1.6373079427083332
nsrr0558,EEG3,10.895,22,1.6398621961805555,1.6402115885416666
nsrr0558,EEG3,10.895,23,1.6453917100694444,1.645537109375
nsrr0558,EEG3,10.895,24,1.7933148871527778,1.7935036892361111
nsrr0558,EEG3,10.895,25,1.7960221354166668,1.796252170138889
nsrr0558,EEG3,10.895,26,2.6232801649305557,2.623529730902778
nsrr0558,EEG3,10.895,27,2.6241547309027777,2.624331597222222
nsrr0558,EEG3,10.895,28,2.742741970486111,2.742883029513889
nsrr0558,EEG3,10.895,29,2.7466026475694445,2.7467805989583334
nsrr0558,EEG3,10.895,30,2.7788704427083335,2.779314236111111
nsrr0558,EEG3,10.895,31,2.784103732638889,2.784480251736111
nsrr0558,EEG3,10.895,32,2.7916666666666665,2.79181640625
nsrr0558,EEG3,10.895,33,2.7955642361111113,2.7957779947916666
nsrr0558,EEG3,10.895,34,2.8023166232638888,2.8024815538194443
nsrr0558,EEG3,10.895,35,2.805806206597222,2.8065277777777777
nsrr0558,EEG3,10.895,36,2.806884765625,2.807054036458333
nsrr0558,EEG3,10.895,37,2.810029296875,2.810183376736111
nsrr0558,EEG3,10.895,38,2.8132042100694443,2.813394097222222
nsrr0558,EEG3,10.895,39,2.819174262152778,2.819330512152778
nsrr0558,EEG3,10.895,40,2.8199164496527778,2.8200726996527776
nsrr0558,EEG3,10.895,41,2.8286219618055557,2.828816189236111
