ID,CH,F,SPINDLE,Time_of_night,STOP
nsrr0368,EEG3,10.895,1,3.4589908854166667,3.4591666666666665
nsrr0368,EEG3,10.895,2,4.2431000434027775,4.2433083767361115
nsrr0368,EEG3,10.895,3,4.2612510850694445,4.261506076388889
nsrr0368,EEG3,10.895,4,4.275913628472222,4.276193576388889
nsrr0368,EEG3,10.895,5,4.293766276041667,4.294098307291667
nsrr0368,EEG3,10.895,6,4.3037890625,4.304074435763889
nsrr0368,EEG3,10.895,7,4.325508897569445,4.325675998263889
nsrr0368,EEG3,10.895,8,4.326025390625,4.326253255208333
nsrr0368,EEG3,10.895,9,4.331029730902777,4.3312348090277775
nsrr0368,EEG3,10.895,10,4.3336393229166665,4.333787977430555
nsrr0368,EEG3,10.895,11,4.340815972222222,4.340978732638889
nsrr0368,EEG3,10.895,12,4.342097439236111,4.342274305555556
nsrr0368,EEG3,10.895,13,4.3425933159722225,4.342771267361111
nsrr0368,EEG3,10.895,14,4.384064670138889,4.384225260416667
nsrr0368,EEG3,10.895,15,4.404971788194445,4.4051302083333335
nsrr0368,EEG3,10.895,16,4.405875651041667,4.406116536458334
nsrr0368,EEG3,10.895,17,4.422398003472222,4.422728949652778
nsrr0368,EEG3,10.895,18,4.423017578125,4.42361328125
nsrr0368,EEG3,10.895,19,4.424265407986111,4.42484375
nsrr0368,EEG3,10.895,20,4.435667317708333,4.4359375
nsrr0368,EEG3,10.895,21,4.438849826388889,4.439052734375
nsrr0368,EEG3,10.895,22,4.4403298611111115,4.440516493055555
nsrr0368,EEG3,10.895,23,4.452322048611111,4.452524956597222
nsrr0368,EEG3,10.895,24,4.452975260416666,4.453161892361111
nsrr0368,EEG3,10.895,25,4.455456814236111,4.455799696180556
nsrr0368,EEG3,10.895,26,4.45615234375,4.456381293402778
nsrr0368,EEG3,10.895,27,4.456775173611111,4.457083333333333
nsrr0368,EEG3,10.895,28,4.467647569444445,4.468142361111111
nsrr0368,EEG3,10.895,29,4.476220703125,4.476360677083333
nsrr0368,EEG3,10.895,30,4.477455512152778,4.477712673611111
nsrr0368,EEG3,10.895,31,4.479866536458333,4.480015190972222
nsrr0368,EEG3,10.895,32,4.514932725694444,4.515084635416667
nsrr0368,EEG3,10.895,33,4.534862196180556,4.535120442708333
nsrr0368,EEG3,10.895,34,4.608655598958333,4.608904079861111
nsrr0368,EEG3,10.895,35,4.62171875,4.621935763888889
nsrr0368,EEG3,10.895,36,4.626927083333333,4.627086588541666
nsrr0368,EEG3,10.895,37,4.632101779513889,4.632348090277778
nsrr0368,EEG3,10.895,38,4.654780815972222,4.654984809027778
nsrr0368,EEG3,10.895,39,4.669953342013889,4.670133463541666
nsrr0368,EEG3,10.895,40,4.696544053819444,4.696755642361111
nsrr0368,EEG3,10.895,41,4.705975477430556,4.706119791666667
nsrr0368,EEG3,10.895,42,4.709762369791667,4.710052083333333
nsrr0368,EEG3,10.895,43,4.722685546875,4.722834201388889
nsrr0368,EEG3,10.895,44,4.735480685763889,4.735680338541667
nsrr0368,EEG3,10.895,45,4.736606987847222,4.736775173611111
nsrr0368,EEG3,10.895,46,4.747245008680555,4.747384982638889
nsrr0368,EEG3,10.895,47,4.823982204861111,4.824147135416666
nsrr0368,EEG3,10.895,48,4.842907986111111,4.8431195746527775
nsrr0368,EEG3,10.895,49,4.866630859375,4.866837022569444
nsrr0368,EEG3,10.895,50,4.868531901041667,4.868743489583333
nsrr0368,EEG3,10.895,51,4.870836588541667,4.871000434027778
nsrr0368,EEG3,10.895,52,4.872588975694445,4.872836371527778
nsrr0368,EEG3,10.895,53,4.878014322916667,4.878187934027777
nsrr0368,EEG3,10.895,54,4.878975694444445,4.8792523871527775
nsrr0368,EEG3,10.895,55,4.914674479166667,4.914879557291667
nsrr0368,EEG3,10.895,56,4.935278862847222,4.935463324652778
nsrr0368,EEG3,10.895,57,4.939634331597222,4.939850260416667
nsrr0368,EEG3,10.895,58,4.94130859375,4.941653645833333
nsrr0368,EEG3,10.895,59,4.954697265625,4.954998914930556
nsrr0368,EEG3,10.895,60,4.977392578125,4.9776399739583335
nsrr0368,EEG3,10.895,61,4.978957248263889,4.979565972222222
nsrr0368,EEG3,10.895,62,5.025870225694445,5.026111111111111
nsrr0368,EEG3,10.895,63,5.027147352430555,5.02736328125
nsrr0368,EEG3,10.895,64,5.0550314670138885,5.05517578125
nsrr0368,EEG3,10.895,65,5.064992404513889,5.065218098958334
nsrr0368,EEG3,10.895,66,5.080223524305556,5.0804242621527775
nsrr0368,EEG3,10.895,67,5.110625,5.110826822916667
nsrr0368,EEG3,10.895,68,5.129921875,5.1300629340277775
nsrr0368,EEG3,10.895,69,5.130777994791667,5.130955946180555
nsrr0368,EEG3,10.895,70,5.149024522569444,5.149216579861111
nsrr0368,EEG3,10.895,71,5.158165147569444,5.15837890625
nsrr0368,EEG3,10.895,72,5.164845920138889,5.165045572916667
nsrr0368,EEG3,10.895,73,5.196123046875,5.196265190972222
nsrr0368,EEG3,10.895,74,5.265340711805556,5.265494791666667
nsrr0368,EEG3,10.895,75,5.267336154513889,5.267781032986111
nsrr0368,EEG3,10.895,76,5.279654947916667,5.279794921875
