ID,CH,F,SPINDLE,Time_of_night,STOP
nsrr6157,EEG3,10.895,1,1.2620713975694444,1.2623101128472223
nsrr6157,EEG3,10.895,2,1.28841796875,1.288564453125
nsrr6157,EEG3,10.895,3,1.529650607638889,1.529794921875
nsrr6157,EEG3,10.895,4,1.7231456163194445,1.723308376736111
nsrr6157,EEG3,10.895,5,1.8131065538194444,1.8132541232638888
nsrr6157,EEG3,10.895,6,3.0439778645833333,3.0441200086805558
nsrr6157,EEG3,10.895,7,3.1032085503472224,3.1033582899305556
nsrr6157,EEG3,10.895,8,3.367433810763889,3.367587890625
nsrr6157,EEG3,10.895,9,5.136712239583333,5.1368630642361115
nsrr6157,EEG3,10.895,10,5.527093098958333,5.527373046875
nsrr6157,EEG3,10.895,11,5.528567708333333,5.528854166666667
nsrr6157,EEG3,10.895,12,5.532217881944445,5.532471788194444
nsrr6157,EEG3,10.895,13,5.543618706597222,5.543874782986111
nsrr6157,EEG3,10.895,14,5.5444542100694445,5.544734157986111
nsrr6157,EEG3,10.895,15,5.545088975694444,5.545416666666667
nsrr6157,EEG3,10.895,16,5.545730251736111,5.545870225694444
nsrr6157,EEG3,10.895,17,5.548315972222222,5.548608940972223
nsrr6157,EEG3,10.895,18,5.549554036458333,5.549861111111111
nsrr6157,EEG3,10.895,19,5.5518218315972225,5.552409939236111
nsrr6157,EEG3,10.895,20,5.552862413194444,5.5530837673611115
nsrr6157,EEG3,10.895,21,5.553924696180555,5.5542176649305555
nsrr6157,EEG3,10.895,22,5.555263671875,5.555470920138889
nsrr6157,EEG3,10.895,23,5.556423611111111,5.5566178385416665
nsrr6157,EEG3,10.895,24,5.5571885850694445,5.557584635416666
nsrr6157,EEG3,10.895,25,5.558028428819444,5.558317057291666
nsrr6157,EEG3,10.895,26,6.311575520833333,6.3117860243055555
nsrr6157,EEG3,10.895,27,6.917018229166667,6.917182074652778
nsrr6157,EEG3,10.895,28,7.410620659722222,7.410798611111111
