ID,CH,F,SPINDLE,Time_of_night,STOP
nsrr4994,EEG3,10.895,1,2.034431423611111,2.034656032986111
nsrr4994,EEG3,10.895,2,2.061865234375,2.0621766493055556
nsrr4994,EEG3,10.895,3,2.071080729166667,2.071298828125
nsrr4994,EEG3,10.895,4,2.077242838541667,2.07751953125
nsrr4994,EEG3,10.895,5,2.080974392361111,2.081281467013889
nsrr4994,EEG3,10.895,6,2.0868901909722224,2.087082248263889
nsrr4994,EEG3,10.895,7,2.090690104166667,2.0909559461805554
nsrr4994,EEG3,10.895,8,2.0939789496527776,2.0941221788194446
nsrr4994,EEG3,10.895,9,2.095473090277778,2.095627170138889
nsrr4994,EEG3,10.895,10,2.099386935763889,2.0996983506944447
nsrr4994,EEG3,10.895,11,2.1006987847222223,2.1009559461805556
nsrr4994,EEG3,10.895,12,2.1094867621527778,2.1097395833333334
nsrr4994,EEG3,10.895,13,2.1111458333333335,2.1112858072916665
nsrr4994,EEG3,10.895,14,2.1184733072916666,2.1186317274305555
nsrr4994,EEG3,10.895,15,2.1209190538194442,2.1211328125
nsrr4994,EEG3,10.895,16,2.136130642361111,2.1362706163194445
nsrr4994,EEG3,10.895,17,2.1390559895833334,2.1393663194444446
nsrr4994,EEG3,10.895,18,2.1466134982638887,2.146945529513889
nsrr4994,EEG3,10.895,19,2.1499522569444443,2.150162760416667
nsrr4994,EEG3,10.895,20,2.1518044704861112,2.1522808159722224
nsrr4994,EEG3,10.895,21,2.1587174479166666,2.159195963541667
nsrr4994,EEG3,10.895,22,2.160699869791667,2.1609016927083333
nsrr4994,EEG3,10.895,23,2.1628450520833336,2.163091362847222
nsrr4994,EEG3,10.895,24,2.1640223524305555,2.164314236111111
nsrr4994,EEG3,10.895,25,2.1671375868055556,2.167377387152778
nsrr4994,EEG3,10.895,26,2.16802734375,2.168240017361111
nsrr4994,EEG3,10.895,27,2.169402126736111,2.1695627170138887
nsrr4994,EEG3,10.895,28,2.170470920138889,2.171060112847222
nsrr4994,EEG3,10.895,29,2.1714463975694445,2.1717241753472223
nsrr4994,EEG3,10.895,30,2.1730023871527777,2.17322265625
