mros-visit1-aa2671
Whole Night (hrs): 10.653889		SleepStage2 (hrs): 2.383333
SpindleNo,Frequency,Duration,Amplitude,Time_of_night
143,14.000000,0.500000,48.508431,0.989861
144,11.636364,1.203100,64.942397,0.992889
145,12.000000,2.000000,78.713664,0.993278
146,14.985366,0.800780,53.826200,0.993861
147,14.000000,0.500000,51.544976,1.005917
148,11.636364,0.601560,73.014420,1.006361
149,14.000000,0.500000,40.863661,1.022750
150,12.000000,0.500000,55.725948,1.023722
151,12.508143,1.199200,88.799878,1.034444
152,10.011173,0.699220,63.614862,1.034861
153,11.636364,0.601560,63.714046,1.035194
154,10.840391,1.199200,78.065156,1.035750
155,11.801418,1.101600,73.220417,1.047472
156,9.974026,0.601560,64.316777,1.052833
157,13.385621,0.597660,63.859007,1.053694
158,10.726257,1.398400,89.051652,1.063000
159,13.298701,0.601560,62.417029,1.068194
160,11.082251,0.902340,83.741512,1.074083
161,14.961039,0.601560,51.491569,1.298389
162,13.385621,0.597660,83.215076,1.308556
163,15.058824,0.398440,38.063630,1.313750
164,14.222222,0.703120,78.065156,1.314417
165,12.427184,0.402340,55.336843,1.315333
166,12.427184,0.402340,56.557565,1.320056
167,13.333333,1.500000,81.612879,1.333750
168,12.871508,0.699220,82.246128,1.398500
169,12.871508,0.699220,81.887541,1.409611
170,10.000000,0.500000,92.111086,1.423278
171,11.239024,0.800780,83.070115,1.442222
172,9.955556,0.703120,83.184558,1.457333
173,10.000000,0.500000,56.115053,1.462139
174,14.301676,0.699220,91.317617,1.465722
175,11.531532,1.300800,63.233387,1.477639
176,13.000000,1.000000,80.270085,1.478056
177,12.487805,0.800780,58.739605,1.486944
178,10.762763,1.300800,107.553216,1.505750
179,13.617021,1.101600,57.122148,1.526222
180,11.239024,0.800780,77.241169,1.538056
181,11.801418,1.101600,62.264439,1.543583
182,11.082251,0.902340,63.157092,1.545528
183,12.549020,0.398440,50.522621,1.546472
184,11.712418,0.597660,67.139696,1.548083
185,12.000000,0.500000,48.180362,1.591417
186,11.082251,0.902340,93.118181,1.592139
187,11.441341,0.699220,56.298161,1.592528
188,12.000000,0.500000,36.507210,1.593333
189,12.000000,0.500000,39.742123,1.593667
190,12.549020,0.398440,34.996567,1.595167
191,12.518337,1.597700,79.278248,1.596472
192,14.000000,0.500000,62.401770,1.597556
193,12.000000,0.500000,56.618601,1.599833
194,12.427184,0.402340,36.255436,1.600389
195,12.871508,0.699220,50.064851,1.604528
196,13.298701,0.300780,24.650950,1.605056
197,14.301676,0.699220,69.512474,1.607111
