mros-visit1-aa3232
Whole Night (hrs): 8.583333		SleepStage2 (hrs): 4.866667
SpindleNo,Frequency,Duration,Amplitude,Time_of_night
1,16.108844,2.296900,229.945830,0.004333
2,16.178439,2.101600,153.093767,0.081028
3,11.566265,1.296900,158.953231,0.133639
4,12.243478,0.898440,100.762951,0.263611
5,14.000000,0.500000,46.952010,0.306472
6,12.000000,0.500000,45.326925,0.338444
7,13.298701,0.300780,33.501183,0.340056
8,12.000000,0.500000,53.543908,0.343806
9,12.549020,0.398440,44.312200,0.346944
10,12.427184,0.402340,37.438010,0.355944
11,11.674267,1.199200,65.568017,0.364667
12,14.000000,0.500000,54.650187,0.380750
13,12.243478,0.898440,45.128557,0.393639
14,12.000000,0.500000,34.378576,0.394028
15,12.549020,0.398440,40.474556,0.396139
16,12.549020,0.398440,41.802090,0.400639
17,15.058824,0.398440,46.868086,0.408083
18,13.298701,0.601560,42.130159,0.413583
19,14.000000,0.500000,49.454490,0.435722
20,12.000000,0.500000,52.445258,0.455417
21,13.298701,0.300780,36.202029,0.472472
22,13.298701,0.300780,35.294118,0.477778
23,12.427184,0.402340,37.407492,0.479278
24,11.441341,0.699220,57.137407,0.484528
25,11.294118,0.796880,59.143969,0.485028
26,11.863415,1.601600,63.286793,0.486444
27,12.800000,0.703120,46.936751,0.491361
28,11.636364,0.601560,36.545357,0.491639
29,11.441341,0.699220,35.400931,0.492444
30,10.000000,0.500000,46.608682,0.510611
31,13.298701,0.300780,34.805829,0.542861
32,12.427184,0.402340,31.952392,0.551167
33,11.294118,0.796880,43.724727,0.554194
34,15.058824,0.398440,42.679484,0.556278
35,13.736585,0.800780,50.804913,0.559389
36,12.549020,0.398440,31.815061,0.559806
37,12.427184,0.402340,39.070726,0.560611
38,13.298701,0.902340,52.048524,0.569139
39,13.736585,0.800780,44.563973,0.575611
40,14.912621,0.402340,40.299077,0.588806
41,11.674267,1.199200,156.038758,0.602444
42,12.000000,0.500000,49.401083,0.604389
43,13.298701,0.300780,51.407645,0.616083
44,14.000000,0.500000,37.743191,0.634833
45,12.487805,0.800780,48.821241,0.635389
46,12.000000,0.500000,39.757382,0.637111
47,14.000000,0.500000,37.216754,0.637444
48,13.298701,0.300780,40.451667,0.637917
49,11.333333,1.500000,94.285496,0.659500
50,11.770115,1.699200,75.364309,0.661611
51,11.661605,1.800800,157.305257,0.693028
52,12.427184,0.402340,48.584726,0.695194
53,12.243478,0.898440,148.432136,0.695417
54,13.298701,0.300780,38.796063,0.718028
55,12.549020,0.398440,47.882811,0.784389
56,12.000000,0.500000,43.999390,0.984389
57,11.636364,0.601560,53.047990,1.133056
58,13.342020,1.199200,90.012970,1.570861
59,14.406926,0.902340,78.385595,1.585611
60,13.385621,0.597660,79.140917,1.587306
61,14.000000,0.500000,50.270848,1.601056
62,13.298701,0.601560,46.852827,1.604444
63,13.000000,1.000000,67.559319,1.607556
64,14.000000,0.500000,51.354238,1.609389
65,14.000000,0.500000,48.004883,1.622000
66,14.175896,1.199200,53.330282,1.686472
67,12.871508,0.699220,65.720607,1.696556
68,14.000000,1.000000,64.713512,1.715917
69,14.406926,0.902340,70.656901,1.716778
70,13.736585,1.601600,110.910201,1.728806
71,12.000000,0.500000,70.496681,1.729528
72,12.487805,0.800780,79.179065,1.756611
73,14.301676,0.699220,48.851759,1.767861
74,13.803922,0.796880,53.383688,1.768778
75,14.129870,1.203100,56.267643,1.770250
76,12.871508,0.699220,38.101778,1.771583
77,11.500000,2.000000,90.852216,1.772361
78,14.000000,1.500000,74.113069,1.774083
79,13.000000,1.000000,57.045853,1.776667
80,13.000000,1.000000,60.677501,1.833194
81,11.441341,0.699220,79.201953,1.835194
82,13.298701,1.203100,62.333104,1.847472
83,14.000000,1.000000,70.366979,1.855472
84,13.770171,1.597700,69.733730,1.861333
85,14.261838,1.402300,62.287327,1.863306
86,13.665480,1.097700,75.730526,1.864472
87,14.000000,0.500000,46.387427,1.880889
88,11.441341,0.699220,67.818723,1.887917
89,11.636364,0.601560,75.883116,2.025000
90,11.712418,0.597660,49.485008,2.056472
91,13.298701,0.601560,47.562371,2.262417
92,12.487805,0.800780,48.043030,3.018056
93,15.058824,0.398440,42.923629,3.083056
94,14.000000,0.500000,47.493706,3.111861
95,12.487805,0.800780,86.678874,3.132889
96,11.712418,0.597660,45.456626,3.136417
97,13.298701,0.300780,33.424887,3.138111
98,12.000000,0.500000,65.041581,3.141417
99,14.301676,0.699220,67.780575,3.153833
100,13.882863,1.800800,71.145190,3.156167
101,14.000000,1.000000,69.115740,3.156833
102,14.129870,1.203100,67.414359,3.186361
103,12.000000,0.500000,53.757534,3.191250
104,10.039216,0.398440,35.172045,3.232944
105,12.549020,0.398440,47.951476,3.257806
106,13.356522,0.898440,57.167926,3.258333
107,11.636364,0.601560,58.937972,3.269583
108,13.298701,0.300780,33.440146,3.303278
109,14.000000,0.500000,39.787900,3.329278
110,11.000000,1.000000,53.429465,3.334889
111,13.298701,0.902340,92.126345,3.413722
112,12.549020,0.398440,42.053864,3.549028
113,12.871508,0.699220,42.664225,3.564056
114,14.301676,0.699220,51.148241,3.818833
